Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BCH,2019-01-18,128.3924430058,127.3054018035,131.1876665924,124.3290887667
BCH,2019-01-19,126.14890764,128.392440687,130.0814363652,124.7831720008
BCH,2019-01-20,128.8526229371,126.1489076833,130.915711736,125.4094051695
BCH,2019-01-21,122.2618727062,128.5634564232,129.341355123,119.9223884298
BCH,2019-01-22,121.0054588815,122.2617299898,123.0280613026,120.1311449096
BCH,2019-01-23,128.3537197853,121.0054696832,131.2382643589,116.0501434159
BCH,2019-01-24,131.5062498766,127.3226662601,135.0223898993,126.4149190473
BCH,2019-01-25,128.3661402923,131.3039883199,131.3834355634,125.0226164735
BCH,2019-01-26,126.5734765583,128.2563615212,128.2563628215,124.9577744624
BCH,2019-01-27,125.5033047481,126.5734318466,128.4400037213,124.6966449979
BCH,2019-01-28,121.3012486175,125.5033010417,125.9862081829,117.6532321008
BCH,2019-01-29,109.7970236116,120.6982018584,120.7374795801,104.837276553
BCH,2019-01-30,109.3424380187,110.9353222213,111.7639223448,105.769918094
BCH,2019-01-31,116.8583524265,109.3424285353,120.4464063009,107.043570777
BCH,2019-02-01,113.7142717022,116.1908507495,120.2338016441,111.8095967266
BCH,2019-02-02,114.6617026995,113.053654875,117.9220997389,109.9296481338
BCH,2019-02-03,117.9829969944,114.661720608,121.0264063333,113.9231239323
BCH,2019-02-04,116.5517570793,117.9829969317,120.8753093151,115.2400930353
BCH,2019-02-05,116.9375296572,117.25696246,119.4360069468,116.1863981998
BCH,2019-02-06,115.7779185232,116.9375296572,118.412453379,115.4165995182
BCH,2019-02-07,114.3409543067,115.934280441,121.2539656975,109.9812630957
BCH,2019-02-08,113.235564726,113.5422228428,116.0129098269,112.4876384363
BCH,2019-02-09,125.597892003,113.235564726,130.8127479522,112.7755257648
BCH,2019-02-10,125.9210717951,128.3839046489,128.8858651089,124.3721247737
BCH,2019-02-11,124.4318925478,125.9210972374,127.1995371281,120.0342294416
BCH,2019-02-12,120.7988588721,124.4318887278,126.5946371033,119.2868960534
BCH,2019-02-13,120.5456920189,120.7988589302,122.0223471059,116.8252849156
BCH,2019-02-14,120.4335874249,121.0214157046,125.4895524796,118.9515548159
BCH,2019-02-15,119.9633077432,120.4335874701,122.7298494898,118.626900953
BCH,2019-02-16,119.8378319552,119.7084481058,122.3080849104,119.6430680411
BCH,2019-02-17,120.5381879071,119.8378384271,121.4394713309,119.8202309874
BCH,2019-02-18,121.9238693325,120.5382257297,123.1398460486,119.0530439538
BCH,2019-02-19,137.4178554748,121.9242852836,144.6637113336,121.8985859838
BCH,2019-02-20,141.4415354146,140.0776271394,147.6299444006,139.3127943508
BCH,2019-02-21,142.6494904259,141.4408207031,145.7271850346,137.0297876706
BCH,2019-02-22,139.2845286476,142.6494904212,144.8436745874,137.7745943083
BCH,2019-02-23,141.9433359011,140.0143325479,142.9143779255,138.8292143558
BCH,2019-02-24,147.0793018193,141.9433262113,149.4858377051,139.0868531918
BCH,2019-02-25,131.3069126256,147.0794316488,154.1405702852,128.6504596758
BCH,2019-02-26,133.4484164151,131.3069778137,137.1706345274,128.4915530083
BCH,2019-02-27,131.0762849943,133.4484545845,135.8979169923,130.0246136844
BCH,2019-02-28,129.8350526899,131.2673824653,132.6724900218,125.4004123302
BCH,2019-03-01,129.5157173918,129.8359247877,132.8885194293,127.7472911823
BCH,2019-03-02,130.8727449111,129.5252792396,132.5460165757,129.0068053408
BCH,2019-03-03,130.1798660798,130.6781186846,131.3492053021,127.4274446826
BCH,2019-03-04,128.897524671,130.0309402104,131.203692512,128.5519332015
BCH,2019-03-05,122.2047625353,128.8975254776,129.8238347957,120.1518416615
BCH,2019-03-06,129.9376037073,122.7589461638,133.117257924,122.0754326909
BCH,2019-03-07,130.8501151425,129.9572673005,132.9882146404,128.2352587429
BCH,2019-03-08,130.0209131498,130.8501151593,132.901085012,129.424498645
BCH,2019-03-09,126.0431303023,130.020916847,132.6764584595,125.2641244846
BCH,2019-03-10,131.4072098848,126.9405041233,135.7161883506,126.4392263261
BCH,2019-03-11,130.9769824809,132.5405997255,133.3059836785,129.3226000129
BCH,2019-03-12,127.6299863558,130.4089938912,131.2360099172,126.1423636916
BCH,2019-03-13,127.7678955984,127.6303010095,128.7287887242,125.0143434814
BCH,2019-03-14,127.1498523882,127.7678175251,128.5463063898,125.7969214911
BCH,2019-03-15,131.1113286554,127.1498523817,134.5999008874,127.0569756865
BCH,2019-03-16,142.5749463979,131.1113287168,144.9286983715,130.9439708748
BCH,2019-03-17,155.0302447015,142.5448626839,160.9115206853,141.9378219209
BCH,2019-03-18,152.9996799563,152.8580442481,156.3726212201,146.0635022881
BCH,2019-03-19,158.4676418078,152.9996803677,165.5072060023,151.9534757985
BCH,2019-03-20,158.4985809551,160.3894399794,160.873783547,154.2596767742
BCH,2019-03-21,157.5753600434,158.4986527278,159.8861426217,153.2317727992
BCH,2019-03-22,152.2233764408,158.4511757508,159.1680898769,146.7071073655
