date;close;tradecount
24/06/2020 00:00;250.200.000;52796
23/06/2020 00:00;257.140.000;36934
22/06/2020 00:00;258.620.000;44924
21/06/2020 00:00;251.400.000;29248
20/06/2020 00:00;253.620.000;41049
19/06/2020 00:00;252.540.000;37834
18/06/2020 00:00;253.640.000;36348
17/06/2020 00:00;256.780.000;49060
16/06/2020 00:00;255.390.000;36308
15/06/2020 00:00;253.200.000;59946
14/06/2020 00:00;256.810.000;36051
13/06/2020 00:00;260.420.000;33656
12/06/2020 00:00;259.700.000;49771
11/06/2020 00:00;251.460.000;85908
10/06/2020 00:00;275.680.000;51709
09/06/2020 00:00;275.050.000;58690
08/06/2020 00:00;278.780.000;52158
07/06/2020 00:00;280.980.000;59285
06/06/2020 00:00;279.820.000;61002
05/06/2020 00:00;281.430.000;83616
04/06/2020 00:00;272.030.000;60642
03/06/2020 00:00;269.580.000;56588
02/06/2020 00:00;267.560.000;108156
01/06/2020 00:00;282.140.000;87959
31/05/2020 00:00;267.310.000;77238
30/05/2020 00:00;277.150.000;63585
29/05/2020 00:00;261.440.000;52045
28/05/2020 00:00;261.200.000;46572
27/05/2020 00:00;257.150.000;45162
26/05/2020 00:00;250.340.000;39994
25/05/2020 00:00;252.960.000;43191
24/05/2020 00:00;248.790.000;61111
23/05/2020 00:00;256.310.000;49266
22/05/2020 00:00;259.480.000;65231
21/05/2020 00:00;246.210.000;64322
20/05/2020 00:00;259.700.000;71761
19/05/2020 00:00;265.430.000;57591
18/05/2020 00:00;266.530.000;81093
17/05/2020 00:00;262.050.000;56273
16/05/2020 00:00;263.610.000;77154
15/05/2020 00:00;258.550.000;101289
14/05/2020 00:00;262.280.000;92979
13/05/2020 00:00;252.450.000;65800
12/05/2020 00:00;244.100.000;65557
11/05/2020 00:00;239.780.000;107581
10/05/2020 00:00;244.340.000;160501
09/05/2020 00:00;275.160.000;68887
08/05/2020 00:00;275.180.000;73114
07/05/2020 00:00;275.720.000;99545
06/05/2020 00:00;265.220.000;65399
05/05/2020 00:00;277.060.000;54507
04/05/2020 00:00;276.870.000;86524
03/05/2020 00:00;283.870.000;87530
02/05/2020 00:00;293.960.000;64469
01/05/2020 00:00;287.310.000;77558
30/04/2020 00:00;282.200.000;142356
29/04/2020 00:00;300.590.000;153999
28/04/2020 00:00;276.140.000;61851
27/04/2020 00:00;274.300.000;83520
26/04/2020 00:00;273.750.000;66457
25/04/2020 00:00;270.240.000;68440
24/04/2020 00:00;270.680.000;61261
23/04/2020 00:00;268.110.000;75690
22/04/2020 00:00;262.240.000;50925
21/04/2020 00:00;252.110.000;61965
20/04/2020 00:00;250.770.000;125333
19/04/2020 00:00;259.800.000;102768
18/04/2020 00:00;272.650.000;69708
17/04/2020 00:00;261.290.000;78736
16/04/2020 00:00;265.690.000;128978
15/04/2020 00:00;240.150.000;60827
14/04/2020 00:00;246.550.000;49103
13/04/2020 00:00;244.240.000;91790
12/04/2020 00:00;249.800.000;55851
11/04/2020 00:00;250.830.000;53491
10/04/2020 00:00;249.160.000;106523
09/04/2020 00:00;272.390.000;55841
08/04/2020 00:00;274.860.000;94159
07/04/2020 00:00;263.320.000;113061
06/04/2020 00:00;275.860.000;132514
05/04/2020 00:00;235.050.000;43387
04/04/2020 00:00;235.590.000;57167
03/04/2020 00:00;233.250.000;68950
02/04/2020 00:00;228.950.000;98426
01/04/2020 00:00;225.490.000;67292
31/03/2020 00:00;220.860.000;52839
30/03/2020 00:00;222.690.000;65927
29/03/2020 00:00;211.330.000;50579
28/03/2020 00:00;219.960.000;89269
27/03/2020 00:00;219.280.000;81548
26/03/2020 00:00;232.360.000;65452
25/03/2020 00:00;229.650.000;80372
24/03/2020 00:00;234.390.000;97363
23/03/2020 00:00;228.560.000;125406
22/03/2020 00:00;213.440.000;150925
21/03/2020 00:00;227.350.000;136625
20/03/2020 00:00;220.290.000;232496
19/03/2020 00:00;227.670.000;142621
18/03/2020 00:00;199.890.000;117289
17/03/2020 00:00;196.840.000;127843
16/03/2020 00:00;189.370.000;252195
15/03/2020 00:00;204.470.000;130476
14/03/2020 00:00;195.800.000;156009
13/03/2020 00:00;211.000.000;487223
12/03/2020 00:00;176.560.000;337429
11/03/2020 00:00;306.610.000;112133
10/03/2020 00:00;307.290.000;114826
09/03/2020 00:00;306.120.000;153710
08/03/2020 00:00;304.350.000;152635
07/03/2020 00:00;364.090.000;49650
06/03/2020 00:00;383.450.000;60538
05/03/2020 00:00;376.260.000;76685
04/03/2020 00:00;359.080.000;60492
03/03/2020 00:00;362.330.000;84623
02/03/2020 00:00;371.330.000;95182
01/03/2020 00:00;350.750.000;93992
29/02/2020 00:00;351.050.000;87510
28/02/2020 00:00;351.360.000;143137
27/02/2020 00:00;361.830.000;174543
26/02/2020 00:00;353.440.000;277935
25/02/2020 00:00;407.780.000;182664
24/02/2020 00:00;412.210.000;151323
23/02/2020 00:00;437.780.000;94899
22/02/2020 00:00;410.040.000;78719
21/02/2020 00:00;405.090.000;118266
20/02/2020 00:00;399.630.000;192408
19/02/2020 00:00;397.520.000;136732
18/02/2020 00:00;457.930.000;130721
17/02/2020 00:00;435.210.000;208336
16/02/2020 00:00;438.120.000;211482
15/02/2020 00:00;474.290.000;174882
14/02/2020 00:00;537.470.000;75361
13/02/2020 00:00;536.070.000;120682
12/02/2020 00:00;533.070.000;103683
11/02/2020 00:00;524.490.000;93734
10/02/2020 00:00;489.860.000;94624
09/02/2020 00:00;501.110.000;83711
08/02/2020 00:00;476.200.000;85042
07/02/2020 00:00;458.980.000;73030
06/02/2020 00:00;460.380.000;93527
05/02/2020 00:00;452.840.000;97343
04/02/2020 00:00;423.060.000;63724
03/02/2020 00:00;420.270.000;69653
02/02/2020 00:00;421.450.000;71724
01/02/2020 00:00;415.310.000;65838
31/01/2020 00:00;414.440.000;87720
30/01/2020 00:00;432.360.000;98638
29/01/2020 00:00;396.740.000;76380
28/01/2020 00:00;404.120.000;104374
27/01/2020 00:00;396.470.000;103032
26/01/2020 00:00;364.860.000;55557
25/01/2020 00:00;349.800.000;43964
24/01/2020 00:00;363.450.000;73969
23/01/2020 00:00;357.060.000;63299
22/01/2020 00:00;365.400.000;54303
21/01/2020 00:00;365.270.000;54345
20/01/2020 00:00;362.000.000;65234
19/01/2020 00:00;361.150.000;105234
18/01/2020 00:00;380.490.000;118964
17/01/2020 00:00;390.380.000;182610
16/01/2020 00:00;383.760.000;121531
15/01/2020 00:00;376.750.000;153218
14/01/2020 00:00;381.000.000;189128
13/01/2020 00:00;310.490.000;48864
12/01/2020 00:00;321.070.000;63295
