date;close;tradecount;close
04/03/2020 00:00;8,75087E+11;454817;8760,07
03/03/2020 00:00;8,76007E+11;512762;8915,24
02/03/2020 00:00;8,91524E+11;564535;8531,88
01/03/2020 00:00;8,53188E+11;472019;8523,61
29/02/2020 00:00;8,52361E+11;414175;8692,91
28/02/2020 00:00;8,69291E+11;655727;8823,21
27/02/2020 00:00;8,82321E+11;696646;8785,25
26/02/2020 00:00;8,78525E+11;871018;9315,84
25/02/2020 00:00;9,31584E+11;579079;9656,13
24/02/2020 00:00;9,65613E+11;589384;9936,4
23/02/2020 00:00;9,9364E+11;441935;9650,86
22/02/2020 00:00;9,65086E+11;319961;9677,05
21/02/2020 00:00;9,67705E+11;470599;9596,42
20/02/2020 00:00;9,59642E+11;667387;9593,79
19/02/2020 00:00;9,59379E+11;588760;10164,71
18/02/2020 00:00;1,01647E+12;723413;9706
17/02/2020 00:00;9,706E+11;778058;9917,27
16/02/2020 00:00;9,91727E+11;708070;9904,72
15/02/2020 00:00;9,90472E+11;739781;10344,36
14/02/2020 00:00;1,03444E+12;622310;10229,63
13/02/2020 00:00;1,02296E+12;932802;10326,46
12/02/2020 00:00;1,03265E+12;857655;10223,08
11/02/2020 00:00;1,02231E+12;710170;9851,83
10/02/2020 00:00;9,85183E+11;690308;10151,75
09/02/2020 00:00;1,01518E+12;536848;9895,05
08/02/2020 00:00;9,89505E+11;514573;9813,73
07/02/2020 00:00;9,81373E+11;582249;9772
06/02/2020 00:00;9,772E+11;682179;9612,04
05/02/2020 00:00;9,61204E+11;661758;9197,02
04/02/2020 00:00;9,19702E+11;528930;9292,24
03/02/2020 00:00;9,29224E+11;492124;9331,51
02/02/2020 00:00;9,33151E+11;446558;9384,61
01/02/2020 00:00;9,38461E+11;334972;9352,89
31/01/2020 00:00;9,35289E+11;428547;9513,21
30/01/2020 00:00;9,51321E+11;529570;9301,53
29/01/2020 00:00;9,30153E+11;492545;9374,21
28/01/2020 00:00;9,37421E+11;616678;8907,57
27/01/2020 00:00;8,90757E+11;514196;8615
26/01/2020 00:00;8,615E+11;332612;8340,58
25/01/2020 00:00;8,34058E+11;283118;8439
24/01/2020 00:00;8,439E+11;407271;8404,52
23/01/2020 00:00;8,40452E+11;464805;8682,36
22/01/2020 00:00;8,68236E+11;317424;8736,03
21/01/2020 00:00;8,73603E+11;365621;8642,35
20/01/2020 00:00;8,64235E+11;385006;8701,7
19/01/2020 00:00;8,7017E+11;615665;8915,96
18/01/2020 00:00;8,91596E+11;458182;8913,28
17/01/2020 00:00;8,91328E+11;676403;8720,01
16/01/2020 00:00;8,72001E+11;543064;8821,41
15/01/2020 00:00;8,82141E+11;764048;8810,01
14/01/2020 00:00;8,81001E+11;915328;8110,34
13/01/2020 00:00;8,11034E+11;289144;8184,98
12/01/2020 00:00;8,18498E+11;350662;8020,01
11/01/2020 00:00;8,02001E+11;469131;8197,02
10/01/2020 00:00;8,19702E+11;606101;7817,76
09/01/2020 00:00;7,81776E+11;478800;8055,98
08/01/2020 00:00;8,05598E+11;830375;8145,28
07/01/2020 00:00;8,14528E+11;685315;7758
06/01/2020 00:00;7,758E+11;449937;7358,75
05/01/2020 00:00;7,35875E+11;329209;7354,11
04/01/2020 00:00;7,35411E+11;279370;7344,96
03/01/2020 00:00;7,34496E+11;519854;6965,71
02/01/2020 00:00;6,96571E+11;302667;7200,85
01/01/2020 00:00;7,20085E+11;194010;7195,23
31/12/2019 00:00;7,19523E+11;251976;7246
30/12/2019 00:00;7,246E+11;279033;7388,24
29/12/2019 00:00;7,38824E+11;283213;7316,14
28/12/2019 00:00;7,31614E+11;272607;7254,74
27/12/2019 00:00;7,25474E+11;297262;7202
26/12/2019 00:00;7,202E+11;337695;7204,63
25/12/2019 00:00;7,20463E+11;289924;7255,77
24/12/2019 00:00;7,25577E+11;384678;7317,09
23/12/2019 00:00;7,31709E+11;530669;7501,44
22/12/2019 00:00;7,50144E+11;356612;7132,75
21/12/2019 00:00;7,13275E+11;212162;7187,83
20/12/2019 00:00;7,18783E+11;312766;7150,3
19/12/2019 00:00;7,1503E+11;439761;7277,83
18/12/2019 00:00;7,27783E+11;714073;6623,82
17/12/2019 00:00;6,62382E+11;454097;6891,72
16/12/2019 00:00;6,89172E+11;371202;7118,59
15/12/2019 00:00;7,11859E+11;262651;7064,05
