date;close;tradecount
26/09/2020 00:00;35.392.000.000;217834
25/09/2020 00:00;35.192.000.000;310536
24/09/2020 00:00;34.897.000.000;371450
23/09/2020 00:00;32.072.000.000;323226
22/09/2020 00:00;34.421.000.000;286593
21/09/2020 00:00;34.036.000.000;472560
20/09/2020 00:00;37.104.000.000;275295
19/09/2020 00:00;38.525.000.000;230924
18/09/2020 00:00;38.439.000.000;323159
17/09/2020 00:00;38.936.000.000;505247
16/09/2020 00:00;36.511.000.000;371665
15/09/2020 00:00;36.406.000.000;405048
14/09/2020 00:00;37.712.000.000;476828
13/09/2020 00:00;36.642.000.000;430236
12/09/2020 00:00;38.778.000.000;318774
11/09/2020 00:00;37.363.000.000;367615
10/09/2020 00:00;36.793.000.000;512819
09/09/2020 00:00;35.085.000.000;381038
08/09/2020 00:00;33.739.000.000;554846
07/09/2020 00:00;35.359.000.000;708066
06/09/2020 00:00;35.280.000.000;852597
05/09/2020 00:00;33.501.000.000;1074986
04/09/2020 00:00;38.526.000.000;744610
03/09/2020 00:00;38.140.000.000;903066
02/09/2020 00:00;43.950.000.000;825133
01/09/2020 00:00;47.540.000.000;763508
31/08/2020 00:00;43.379.000.000;456201
30/08/2020 00:00;42.894.000.000;395838
29/08/2020 00:00;39.865.000.000;300090
28/08/2020 00:00;39.511.000.000;311832
27/08/2020 00:00;38.327.000.000;392116
26/08/2020 00:00;38.581.000.000;351141
25/08/2020 00:00;38.293.000.000;411636
24/08/2020 00:00;40.768.000.000;307676
23/08/2020 00:00;39.071.000.000;222729
22/08/2020 00:00;39.524.000.000;305450
21/08/2020 00:00;38.797.000.000;414222
20/08/2020 00:00;41.594.000.000;322537
19/08/2020 00:00;40.746.000.000;455992
18/08/2020 00:00;42.195.000.000;374074
17/08/2020 00:00;43.089.000.000;443560
16/08/2020 00:00;43.362.000.000;371807
15/08/2020 00:00;43.232.000.000;351377
14/08/2020 00:00;43.811.000.000;502635
13/08/2020 00:00;42.454.000.000;634978
12/08/2020 00:00;38.718.000.000;349082
11/08/2020 00:00;37.900.000.000;459623
10/08/2020 00:00;39.544.000.000;395123
09/08/2020 00:00;39.014.000.000;319111
08/08/2020 00:00;39.703.000.000;300577
07/08/2020 00:00;37.934.000.000;466548
06/08/2020 00:00;39.477.000.000;388529
05/08/2020 00:00;40.072.000.000;459722
04/08/2020 00:00;38.961.000.000;503335
03/08/2020 00:00;38.594.000.000;534803
02/08/2020 00:00;37.242.000.000;960835
01/08/2020 00:00;38.700.000.000;598900
31/07/2020 00:00;34.633.000.000;461788
30/07/2020 00:00;33.487.000.000;410721
29/07/2020 00:00;31.771.000.000;347597
28/07/2020 00:00;31.677.000.000;458451
27/07/2020 00:00;32.193.000.000;645395
26/07/2020 00:00;31.100.000.000;486058
25/07/2020 00:00;30.526.000.000;424683
24/07/2020 00:00;27.915.000.000;362608
23/07/2020 00:00;27.530.000.000;378573
22/07/2020 00:00;26.374.000.000;273546
21/07/2020 00:00;24.559.000.000;240019
20/07/2020 00:00;23.601.000.000;164435
19/07/2020 00:00;23.911.000.000;144896
18/07/2020 00:00;23.567.000.000;136494
17/07/2020 00:00;23.267.000.000;149088
16/07/2020 00:00;23.357.000.000;222138
15/07/2020 00:00;23.861.000.000;154984
14/07/2020 00:00;24.044.000.000;172704
13/07/2020 00:00;23.950.000.000;240032
12/07/2020 00:00;24.279.000.000;201729
11/07/2020 00:00;23.919.000.000;140265
10/07/2020 00:00;24.126.000.000;181124
09/07/2020 00:00;24.198.000.000;243580
08/07/2020 00:00;24.695.000.000;309582
07/07/2020 00:00;23.939.000.000;213589
06/07/2020 00:00;24.160.000.000;268187
05/07/2020 00:00;22.756.000.000;152077
04/07/2020 00:00;22.917.000.000;134338
03/07/2020 00:00;22.487.000.000;139167
02/07/2020 00:00;22.646.000.000;210294
01/07/2020 00:00;23.099.000.000;176455
30/06/2020 00:00;22.560.000.000;143612
29/06/2020 00:00;22.793.000.000;183558
28/06/2020 00:00;22.493.000.000;144728
27/06/2020 00:00;22.094.000.000;207051
26/06/2020 00:00;22.964.000.000;192182
25/06/2020 00:00;23.250.000.000;192323
24/06/2020 00:00;23.458.000.000;289888
23/06/2020 00:00;24.314.000.000;172649
22/06/2020 00:00;24.313.000.000;256688
21/06/2020 00:00;22.804.000.000;109238
20/06/2020 00:00;22.889.000.000;129778
19/06/2020 00:00;22.900.000.000;160682
18/06/2020 00:00;23.127.000.000;145815
17/06/2020 00:00;23.382.000.000;189653
16/06/2020 00:00;23.530.000.000;188136
15/06/2020 00:00;23.086.000.000;308126
14/06/2020 00:00;23.177.000.000;158093
13/06/2020 00:00;23.811.000.000;134555
12/06/2020 00:00;23.755.000.000;181977
11/06/2020 00:00;23.051.000.000;312655
10/06/2020 00:00;24.778.000.000;185330
09/06/2020 00:00;24.380.000.000;185974
08/06/2020 00:00;24.640.000.000;159981
07/06/2020 00:00;24.456.000.000;226478
06/06/2020 00:00;24.194.000.000;161709
05/06/2020 00:00;24.003.000.000;205337
04/06/2020 00:00;24.321.000.000;253226
